subject,gender,age,qualification,handedness,handsused,kd1,kd2,kd3,kd4,kd5,kd6,dd1,dd2,dd3,dd4,dd5,dd6,uu1,uu2,uu3,uu4,uu5,uu6,ud1,ud2,ud3,ud4,ud5,ud6,du1,du2,du3,du4,du5,du6,gb1,gb2,gb3,gb4,gb5,gb6,gb7,gb8,gb9,gb10,gb11,gb12,gb13,gb14,gg1,gg2,gg3,gg4,gg5,gg6,gg7,gg8,gg9,gg10,gg11,gg12,gg13,gg14,ga1,ga2,ga3,ga4,ga5,ga6,ga7,ga8,ga9,ga10,ga11,ga12,ga13,ga14,mx1,mx2,mx3,mx4,mx5,mx6,mx7,mx8,mx9,mx10,mx11,mx12,mx13,mx14,my1,my2,my3,my4,my5,my6,my7,my8,my9,my10,my11,my12,my13,my14,mz1,mz2,mz3,mz4,mz5,mz6,mz7,mz8,mz9,mz10,mz11,mz12,mz13,mz14,grx1,grx2,grx3,grx4,grx5,grx6,grx7,grx8,grx9,grx10,grx11,grx12,grx13,grx14,gry1,gry2,gry3,gry4,gry5,gry6,gry7,gry8,gry9,gry10,gry11,gry12,gry13,gry14,grz1,grz2,grz3,grz4,grz5,grz6,grz7,grz8,grz9,grz10,grz11,grz12,grz13,grz14,rb1,rb2,rb3,rb4,rb5,rb6,rb7,rb8,rb9,rb10,rb11,rb12,rb13,rb14,rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rg11,rg12,rg13,rg14,ra1,ra2,ra3,ra4,ra5,ra6,ra7,ra8,ra9,ra10,ra11,ra12,ra13,ra14
s001,Female,26 to 45,Master,Right,Both Hands,9.6,7,8.4,8.4,7.2,7.6,764.4,2695.6,533.2,6033.4,472.4,417.8,761.8,2697,533.2,6032.2,472.8,417.6,754.8,2688.6,524.8,6025,465.2,410.2,771.4,2704,541.6,6040.6,480,425.2,43.2,43.2,41,41,44.4,44.4,41,41,39.4,39.4,41.2,41.2,41.4,41.4,-6,-6,-8,-8,-6.6,-6.6,-7.4,-7.4,-5.6,-5.6,-6.6,-6.6,-7,-7,276,276,273.6,273.6,277.2,277.2,272,272,272.6,272.6,273.2,273.2,273.2,273.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.6,0.6,0.6,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.8,1,1,0.6,0.6,0.8,0.8,1,1,0.8,0.8,1,1,6.6,6.6,6.2,6.2,6.8,6.8,6.4,6.4,5.8,5.8,6.4,6.4,6.4,6.4,7.4,7.4,7.4,7.4,7.4,7.4,7.6,7.6,8,8,7.6,7.6,7.6,7.6,2.2,2.2,7.2,7.2,3.2,3.2,9.4,9.4,5.4,5.4,5.6,5.6,5.8,5.8,0.2,0.2,2.6,2.6,-1.2,-1.2,-0.8,-0.8,0.6,0.6,1,1,0.2,0.2,-1,-1,4,4,-2.4,-2.4,-2.2,-2.2,3.8,3.8,2.4,2.4,-1,-1
s002,Female,26 to 45,Madhymik, Right,One Hand,9.4,7.8,6.4,7.6,6.4,6,559.4,960.4,582.6,722.2,430.8,485.4,557.8,959,583.8,721,430.4,485.8,550,952.6,576.2,714.6,424.4,479.4,567.2,966.8,590.2,728.6,436.8,491.8,17,17,16.4,16.4,16.4,16.4,15.8,15.8,16.6,16.6,18.2,18.2,19.6,19.6,6,6,5.2,5.2,3,3,3.4,3.4,3.6,3.6,5.6,5.6,6.6,6.6,350,350,350.2,350.2,349.4,349.4,349.8,349.8,350,350,350.4,350.4,350.8,350.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.2,-0.2,-0.2,0.2,0.2,0.4,0.4,-0.2,-0.2,0,0,-0.2,-0.2,-1.2,-1.2,-1,-1,-0.6,-0.6,-0.2,-0.2,-0.4,-0.4,-0.8,-0.8,-0.8,-0.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.8,2.8,3,3,3.4,3.4,9.2,9.2,9.2,9.2,9.4,9.4,9.6,9.6,9,9,9.2,9.2,9,9,-1.4,-1.4,1.4,1.4,0,0,2,2,0.2,0.2,-0.2,-0.2,-1.2,-1.2,-1.2,-1.2,-2.8,-2.8,0,0,3,3,1.8,1.8,-0.4,-0.4,-0.8,-0.8,-4.8,-4.8,-10.8,-10.8,-3.2,-3.2,-13,-13,-9.8,-9.8,-8.6,-8.6,-11.4,-11.4
s003,Female,18 to 25,Gratuation,Right,One Hand,16,9.4,7.8,9.2,6.4,8.2,575,574.6,626.8,817.4,575,331.6,568.4,573,628.2,814.6,576.8,329,559,565.2,619,808.2,568.6,323.4,584.4,582.4,636,823.8,583.2,337.2,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.4,21.4,21.6,21.6,-4.8,-4.8,-4.8,-4.8,-4,-4,-4.8,-4.8,-4.2,-4.2,-5,-5,-5,-5,164.4,164.4,164.6,164.6,164.2,164.2,164.4,164.4,164.4,164.4,164.4,164.4,164.4,164.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,-0.6,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,-0.4,-0.2,-0.2,-0.4,-0.4,1,1,1,1,0.8,0.8,1,1,1,1,1,1,1,1,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.6,4,4,3.6,3.6,3.6,3.6,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,-3,-3,-3.4,-3.4,1.4,1.4,-1.6,-1.6,-6.4,-6.4,-6.2,-6.2,-3.4,-3.4,-0.8,-0.8,-0.4,-0.4,0.6,0.6,-0.8,-0.8,-1,-1,-0.4,-0.4,-0.2,-0.2,-5.8,-5.8,-6.4,-6.4,-0.8,-0.8,-3.6,-3.6,-10.8,-10.8,-5,-5,-7.8,-7.8
s004,Male,26 to 45,Gratuation,Right,One Hand,8.8,6.6,6.6,6.6,5.4,7.2,651,711.6,596.4,1820.4,1925.8,600.8,648.8,711.6,596.4,1819.2,1927.6,598.6,642.2,705,589.8,1813.8,1920.4,593.6,657.6,718.2,603,1825.8,1933,605.8,25,25,26.6,26.6,27.4,27.4,26.8,26.8,24.4,24.4,26.6,26.6,26.4,26.4,-11.6,-11.6,-10.4,-10.4,-9.4,-9.4,-9.4,-9.4,-11.8,-11.8,-10.4,-10.4,-10.6,-10.6,192.2,192.2,192.2,192.2,191.4,191.4,191.8,191.8,192.8,192.8,192.6,192.6,192.8,192.8,-0.2,-0.2,0,0,-0.2,-0.2,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0,0,0.2,0.2,0,0,1.6,1.6,1.4,1.4,1.2,1.2,1.4,1.4,1.8,1.8,1.4,1.4,1.4,1.4,4.2,4.2,4.2,4.2,4.4,4.4,4.4,4.4,3.8,3.8,4.2,4.2,4.4,4.4,9,9,8.8,8.8,9.2,9.2,9.2,9.2,8.8,8.8,8.6,8.6,8.8,8.8,-6.8,-6.8,-6.4,-6.4,-6,-6,-6.4,-6.4,-8.8,-8.8,-5.6,-5.6,-2.8,-2.8,1.2,1.2,1.2,1.2,1,1,1.8,1.8,0.6,0.6,0.6,0.6,-1.6,-1.6,-6.6,-6.6,-7.6,-7.6,-4.6,-4.6,-6.2,-6.2,-9.4,-9.4,-6.2,-6.2,-1.4,-1.4
s005,Male,26 to 45,Below Madhymik,Right,Both Hands,9,7,7.6,7.4,6,7.6,1114.6,467.4,397.6,6760.4,1109.8,686.4,1112.6,468,397.4,6759,1111.4,687.8,1105.6,460.4,390,6753,1103.8,678.8,1121.6,475,405,6766.4,1117.4,695.4,24.2,24.2,24.2,24.2,24.2,24.2,24,24,22.4,22.4,22,22,22.6,22.6,-3,-3,-2.8,-2.8,-3,-3,-4.4,-4.4,-3.2,-3.2,-2.8,-2.8,-1.6,-1.6,8,8,8,8,7.8,7.8,7.4,7.4,7.2,7.2,7,7,7,7,0.2,0.2,0.2,0.2,0,0,0.4,0.4,0.2,0.2,0,0,-0.2,-0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,-0.2,-0.2,0.6,0.6,0.8,0.8,0.8,0.8,0.4,0.4,0.2,0.2,0.4,0.4,0.6,0.6,0.8,0.8,1,1,1.2,1.2,0.6,0.6,1,1,0.2,0.2,4.2,4.2,4,4,4,4,4.4,4.4,4.2,4.2,3.8,3.8,3.8,3.8,8.8,8.8,9.4,9.4,9.8,9.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,0.6,0.6,0.6,0.6,0,0,0.4,0.4,7,7,3,3,0.2,0.2,0.8,0.8,0.4,0.4,0.2,0.2,0.6,0.6,-0.6,-0.6,0.8,0.8,0,0,-16.8,-16.8,-10.8,-10.8,-7,-7,-9.2,-9.2,-15.2,-15.2,-7.6,-7.6,-4.6,-4.6
s006,Male,26 to 45,Gratuation,Right,Both Hands,11.4,7.2,7.2,8,7.2,8.6,1366.8,1549.8,1470.8,1381,552.4,625.6,1362.6,1549.8,1471.6,1380.2,553.8,624.2,1355.4,1542.6,1463.6,1373,545.2,617,1374,1557,1478.8,1388.2,561,632.8,48.8,48.8,47.8,47.8,48.2,48.2,48,48,48.8,48.8,49.4,49.4,50.8,50.8,21.8,21.8,18.8,18.8,18.8,18.8,17.4,17.4,17.6,17.6,18,18,22.8,22.8,10.2,10.2,11.4,11.4,12.4,12.4,12.2,12.2,12.6,12.6,13,13,12.4,12.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.2,0.2,0.4,0.4,0,0,0.4,0.4,-2.4,-2.4,-2,-2,-2,-2,-1.6,-1.6,-1.8,-1.8,-2,-2,-2.6,-2.6,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.4,7.4,7.8,7.8,6,6,6.8,6.8,6.6,6.6,6.6,6.6,6.6,6.6,6,6,6.2,6.2,-1.8,-1.8,1.4,1.4,0.4,0.4,4,4,9,9,12.2,12.2,2.2,2.2,0,0,0,0,0.8,0.8,-0.2,-0.2,-0.8,-0.8,0,0,0,0,-2.2,-2.2,2.6,2.6,2.4,2.4,2.2,2.2,6.6,6.6,3.2,3.2,-0.2,-0.2
s007,Female,26 to 45,Gratuation,Right,One Hand,9.2,10,6.8,7.2,7.2,7.6,982.4,896.6,1009.4,1010,965.6,472.6,983.2,893.4,1009.8,1010,966,471.8,973.2,886.6,1002.6,1002.8,958.4,465,992.4,903.4,1016.6,1017.2,973.2,479.4,9,9,9,9,9.2,9.2,9,9,8.8,8.8,8.8,8.8,8.8,8.8,-5,-5,-5,-5,-5,-5,-4.6,-4.6,-5,-5,-4.8,-4.8,-4.8,-4.8,132.6,132.6,132.6,132.6,132.6,132.6,132.6,132.6,132.6,132.6,132.6,132.6,132.6,132.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.6,1.6,1.8,1.8,1.8,1.8,9.2,9.2,9.2,9.2,9,9,9.2,9.2,9.2,9.2,9,9,9.2,9.2,-0.6,-0.6,0,0,-0.6,-0.6,-0.8,-0.8,2,2,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2,-2.2,-0.2,-0.2,-2,-2,-1,-1,-1.8,-1.8,-1,-1,-0.6,-0.6
s008,Male,26 to 45,Gratuation,Right,Both Hands,9.6,7.2,6.4,8.2,7.4,6.6,623.6,15147.4,257.8,661.6,214.4,534.4,621.2,15146.6,259.6,660.8,213.6,534.6,614,15140.2,251.4,653.4,207,527.8,630.8,15153.8,266,669,221,541.2,36.8,36.8,36,36,37,37,36.8,36.8,38,38,38.8,38.8,39,39,16.4,16.4,14.8,14.8,13.8,13.8,13.4,13.4,12.4,12.4,12.4,12.4,12.6,12.6,354,354,354,354,354.4,354.4,354.6,354.6,354.8,354.8,354.8,354.8,354.4,354.4,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.2,0.4,0.4,1.4,1.4,0.8,0.8,0.4,0.4,0.8,0.8,0.2,0.2,0.8,0.8,-2.2,-2.2,-1.6,-1.6,-1.6,-1.6,-2,-2,-1.4,-1.4,-1.4,-1.4,-1.6,-1.6,5.8,5.8,5.4,5.4,5.8,5.8,5.8,5.8,6,6,5.8,5.8,5.8,5.8,7.6,7.6,9,9,8.4,8.4,8.2,8.2,8.6,8.6,8,8,8.2,8.2,-8.8,-8.8,2.2,2.2,-6.4,-6.4,-5.6,-5.6,0.2,0.2,-7.6,-7.6,10.2,10.2,-2.6,-2.6,-3.2,-3.2,-0.2,-0.2,0.2,0.2,-2.6,-2.6,-3.2,-3.2,-0.6,-0.6,-6.2,-6.2,-3.2,-3.2,-2.8,-2.8,5.8,5.8,-2.6,-2.6,-3.6,-3.6,7.4,7.4
s009,Male,60 Up,Madhymik,Right,One Hand,8,5.2,7.2,10.2,6,8.4,2849.8,2266,1945.6,2125.4,3049,849.4,2847,2268,1948.6,2121.2,3051.4,847.8,2841.8,2260.8,1938.4,2115.2,3043,841,2855,2273.2,1955.8,2131.4,3057.4,856.2,12.2,12.2,10.6,10.6,12.2,12.2,11.8,11.8,10.6,10.6,11.6,11.6,12.6,12.6,8.4,8.4,7.8,7.8,9,9,7.6,7.6,7.6,7.6,8.2,8.2,9.2,9.2,31.6,31.6,33,33,32,32,33,33,33.8,33.8,33,33,32.4,32.4,0,0,0,0,0,0,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1.4,1.4,1,1,0.6,0.6,1.2,1.2,1.4,1.4,0.2,0.2,-1.2,-1.2,-1.4,-1.4,-1.6,-1.6,-1.4,-1.4,-1.2,-1.2,-1.2,-1.2,-1.6,-1.6,2,2,2,2,2,2,2,2,1.8,1.8,1.8,1.8,2.4,2.4,9.8,9.8,10.8,10.8,10.4,10.4,10,10,10.8,10.8,10.6,10.6,9.6,9.6,-1,-1,-3.6,-3.6,-2,-2,0.2,0.2,-6,-6,1.6,1.6,-2.8,-2.8,0.4,0.4,2,2,0.2,0.2,0.4,0.4,0,0,0.2,0.2,-0.8,-0.8,2.6,2.6,-6.8,-6.8,0,0,-1.4,-1.4,-9.6,-9.6,1,1,-3.8,-3.8
s010,Male,26 to 45,Master,Right,Both Hands,12.8,9.6,9.4,8.4,7.4,7,971.6,855,774.8,825.8,1888,782.2,968.4,854.8,773.8,824.8,1887.6,782.6,958.8,845.4,765.4,817.4,1880.6,775.2,981.2,864.4,783.2,833.2,1895,789.6,13.4,13.4,12.4,12.4,12.8,12.8,13,13,13.4,13.4,11.8,11.8,13,13,6.8,6.8,4.2,4.2,5.4,5.4,4.8,4.8,6.2,6.2,4.6,4.6,5.6,5.6,282.2,282.2,282.2,282.2,282.4,282.4,281.6,281.6,282.4,282.4,281.8,281.8,281.4,281.4,0,0,0,0,0,0,0.2,0.2,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.2,-0.2,0.2,0.2,0,0,0.2,0.2,0.2,0.2,-0.2,-0.2,-0.8,-0.8,-0.6,-0.6,-0.8,-0.8,-0.6,-0.6,-0.8,-0.8,-0.4,-0.4,-0.6,-0.6,2.4,2.4,2,2,2.2,2.2,2,2,2,2,2,2,2.2,2.2,9.6,9.6,9.4,9.4,10,10,9.6,9.6,9.4,9.4,9.6,9.6,9.4,9.4,-8.8,-8.8,-2.6,-2.6,-3.8,-3.8,6.4,6.4,-5.8,-5.8,-5.6,-5.6,0,0,-1.4,-1.4,-2.8,-2.8,-0.8,-0.8,-1.2,-1.2,-2.8,-2.8,-1.2,-1.2,-2.4,-2.4,-2.2,-2.2,-1.8,-1.8,-1.6,-1.6,0,0,-4.4,-4.4,0,0,-6.4,-6.4
